"UID","PID","LEGTYPE","CHAMBER","STATECODE","DISTRICT","DISTRAIL","FIRSTNAME","LASTNAME","MIDNAME","PREFIX","GENSUFFIX","TITLE","BIOTYPE","SOURCE","BIODATE","DOCUMENT"
Congressman Evans made history in 1990 by becoming the first African-American Chairman of the House Appropriations Committee, a position he held for two decades. In that role, he was instrumental in helping Philadelphia and communities across the Commonwealth of Pennsylvania receive funding for economic development, job training, education, infrastructure and the arts.

A champion for teachers and innovation in education, Congressman Evans helped start the West Oak Lane Charter School, a unionized school, which has helped teach thousands of kids from grades K-8.

One of Congressman Evans proudest achievements has been his work to combat hunger and increase access to quality foods in underserved communities. During his time in the PA State Legislature, the Congressman created the Pennsylvania Fresh Food Financing Initiative, which links public and private funds to expand and build grocery stores in food deserts across our state. Through the initiative the Congressman brought nearly 100 grocery stores to underserved areas across the Commonwealth of Pennsylvania that previously had very limited access to fresh fruits and vegetables, and created more than 5,000 jobs.  

The Fresh Food Financing Initiative was widely recognized as one of the top public policy initiatives in the country. The Obama administration championed Congressman Evans' approach and used the Pennsylvania initiative as a model for the nation, replicating it in several other states across the country, including California, New York, New Jersey, Louisiana, and Illinois.

In 2013, Congressman Evans released his political biography titled, ""Making Ideas Matter- My Life as a Policy Entrepreneur"" written with Pulitzer Prize-winning author William Ecenbarger, and published by the University of Pennsylvania's Fels Institute of Government. 

Over the course of his career in public service, Congressman Evans has lectured around the country on his signature public policy initiatives. He has been the recipient of numerous awards including an honorary doctorate from Lincoln University."

22170,211847,"FL","H","WA","04","","Dan","Newhouse","M.","Rep.","","US Representative","Narrative Bio","",2017-05-11 00:00:00,"Representative Dan Newhouse is a lifelong resident of Central Washington and is honored to represent the 4th District in Congress. A third-generation Yakima Valley farmer, Dan brings real-world experience to Congress as a businessman and former state legislator ready to work hard in support of conservative solutions that encourage job creation and economic opportunity in Central Washington. Dan understands that looking out for taxpayers means that Congress must stay on budget and make the government work efficiently to fulfill its responsibilities.

Dan serves on two committees with jurisdiction on critical legislative issues for the 4th District; these include the Appropriations and Rules committees. 

Dan served four terms as a legislator in the Washington State House of Representatives, representing the 15th Legislative District from 2003 to 2009. In the Legislature, Dan earned a reputation as a principled conservative willing to work with colleagues to support policies that foster economic growth.

From 2009 to 2013, Dan served as Director of Washington State's Department of Agriculture, where he listened to the concerns of Washington farmers and promoted the state's agricultural resources.

Dan attended Washington State University, where he earned a Bachelor of Science degree in Agricultural Economics. Dan is also a graduate of the Washington Agriculture and Forestry Leadership Program.

Dan and his wife Carol live in Sunnyside. They have two adult children, Jensena, Devon and his wife Halley. The Newhouse family continues to operate a 600-acre farm where they grow hops, tree fruit and grapes."

22252,158967,"FL","S","NM","S01","","Tom","Udall","S.","Sen.","","US Senator","Narrative Bio","",2018-01-26 00:00:00,"Tom Udall has earned a reputation as a principled leader who has the integrity to do what is right for New Mexico and our nation. Tom began serving as United States Senator in 2009, after two decades of public service as U.S. Representative and New Mexico's State Attorney General. He was re-elected to the U.S. Senate in 2014, and is now New Mexico's senior senator.

Born to Stewart and Lee Udall in Tucson, Arizona, on May 18, 1948, Tom's roots in New Mexico are deep. His grandmother Louise Lee was born in Luna, New Mexico, during territorial days and was part of a ranching family in what is now Catron County. Her family used to drive cattle down the White Mountains to the railroad in Magdalena.

Tom earned his undergraduate degree at Prescott College and obtained a Bachelor of Laws Degree from Cambridge University in 1975. He graduated from the University of New Mexico Law School in 1977. Tom then served as a Law Clerk to Chief Justice Oliver Seth of the U.S. Tenth Circuit Court of Appeals and became a federal prosecutor in the U.S. Attorney's criminal division. As Chief Counsel to the New Mexico Department of Health and Environment, he also fought for stronger environmental and health protections.

These experiences helped Tom realize he could personally make a difference for the people of New Mexico through elected office. In 1990, Tom was elected New Mexico Attorney General. He made fighting DWI and domestic violence a priority. Working with the Legislature on both sides of the aisle, he pushed for tougher laws against offenders. Tom also fought to protect consumers, especially senior citizens, from rampant telemarketing and other forms of fraud. Additionally, he made ethics a trademark issue, increasing transparency in government and prosecuting corrupt politicians, even members of his own party. In 1994, Tom was elected to a second term as Attorney General.

In 1998, Tom was elected to represent the 3rd Congressional District of New Mexico in the U.S. House of Representatives. In the House, he wrote and passed legislation to establish a national renewable electricity standard, which would spur the creation of good jobs, reinvigorate our economy, and reduce global warming emissions. While in the House, Tom co-founded the Congressional International Conservation Caucus, which is now the second largest caucus in the U.S. Congress. He serves as the co-chair of the caucus in the Senate.

As a member of the powerful Appropriations Committee, Tom has a voice in federal funding for departments, agencies and other programs. With its labs, military bases and public lands, New Mexico has a large federal presence. Tom is committed to defending New Mexico through the appropriations process and to working for a balanced fiscal policy that will address our nation's debt and invest in long-term economic growth.

As a member of the Foreign Relations Committee, Tom is charged with congressional oversight of U.S. operations and programs beyond our borders, aiming to keep America safe, promote democracy and foster international development and conservation. Tom's work on the Commerce Committee focuses on a variety of issues ranging from greater broadband deployment and consumer protection to oversight and expansion of the nation's communications infrastructure, including in underserved rural communities. On the Indian Affairs Committee, he carries on his longtime mission of responding to the priority concerns of Native Americans, including economic development, trust responsibilities, land management, Indian education and health programs. Through the Rules Committee, Tom is working to reform government and Congress, continuing his commitment to a more open, transparent government that can work together to get things done for the American people.

In the Senate, Tom continues to be a strong advocate for the hardworking families of New Mexico, for a clean energy economy and the environment, for affordable and accessible health care, and for our nation's veterans. He has also been a leader in the fight for campaign finance reform and for making government more accountable to the American people, not special interests.

Tom is married to Jill Cooper, who is a former attorney and a long-time advocate for the arts. They have one grown daughter, Amanda, and live in Santa Fe."

30666,378700,"FL","H","OK","02","","Markwayne","Mullin","","Rep.","","US Representative","Narrative Bio","",2017-02-06 00:00:00,"Congressman Markwayne Mullin was first elected to serve the people of Oklahoma's Second Congressional District in November 2012.  He is currently serving his third term in office.

Mullin and his wife Christie have five children- Jim, Andrew, Larra, Ivy, and Lynette.  The Mullin family currently resides in Westville, Oklahoma on the same family farm where Markwayne was raised.

A graduate of Stilwell High School, Mullin attended Missouri Valley College on a wrestling scholarship.  Shortly after, Mullin's father fell ill and the family's small plumbing company encountered financial troubles.  Mullin left college to return home and take over his family's business, forgoing his wrestling scholarship and education. 

Today, Mullin Plumbing is one of the largest service companies in the region, employing over 150 Oklahomans. The business is only one of several successful companies owned and operated by the Mullin family.  Others include Mullin Environmental, Mullin Plumbing West Division, Mullin Services, Mullin Properties, and Mullin Plumbing New Construction.

In 2010, Mullin completed his education and received his degree in Applied Science in Construction Technology from the Oklahoma State University Institute of Technology.

Mullin currently serves on the House Energy and Commerce Committee whose broad jurisdiction includes issues important to rural Oklahoma including energy policy, health care, commerce, and manufacturing.  He sits on three subcommittees- the Subcommittee on Energy, the Subcommittee on Health, and the Subcommittee on Digital Commerce and Consumer Protection.  Additionally, Mullin is a member of a number of caucuses, and is a co-chair of the Men's Health Caucus and of the Regulatory Review Caucus.

During his time in the U.S. House of Representatives, Mullin has been a strong voice for business owners across Oklahoma, bringing their perspective into the national debate on many issues that directly impact the business community.  As one of only two Native Americans currently serving in the House, Mullin brings a firsthand knowledge of Native American issues to Washington, D.C.   

Mullin also serves as a member of the Republican Whip Team.  Representatives who are members of this team work closely with Republican leadership to ensure every American's voice is heard in Congress.

Each of the committees and caucuses Mullin serves on aims to solve problems facing the constituents of Oklahoma's Second District.  Mullin is dedicated to serving the people of his district with honesty and integrity, and fights each day to ensure his constituents' voices are heard in Congress.  A family man grounded by a deep faith and love for his country, Mullin strives to serve the Second District with the same principles in which he leads his life. "

31861,120144,"FL","H","MD","02","","Dutch","Ruppersberger","","Rep.","III","US Representative","Narrative Bio","",2017-05-11 00:00:00,"Congressman C.A. Dutch Ruppersberger is serving his eighth term in the United States House of Representatives for the citizens of Maryland's 2nd District. Congressman Ruppersberger is known as a common sense consensus builder who works with Members from both sides of the aisle to get results for Maryland and the nation.

Congressman Ruppersberger currently serves on the powerful House Appropriations Committee, including the Defense, the State, Foreign Operations and Related Programs and the Homelande Security subcommittees. The Appropriations Committee is responsible for allocating hundreds of billions of federal dollars each year.

The assignment comes after a committee-record 12 years serving on the House Intelligence Committee, including four as Ranking Member. Congressman Ruppersberger was the first Democratic freshman ever appointed to the committee, which oversees the collection and analysis of intelligence from around the world to ensure our national security and prevent potential crisis situations - especially terrorist activity. He traveled to more than 50 countries including Iraq, Pakistan, Afghanistan, Yemen, China and Venezuela during his time on the committee. 

On the committee, he developed a reputation for bipartisan leadership with then-Chairman and Republican Mike Rogers.  Beginning in 2011, the pair worked together to pass five intelligence authorization bills over four years -- after a 6-year period without one -- as well as bipartisan cybersecurity legislation. In 2015, they became the first dual recipients of the prestigious William Oliver Baker Award from the nonpartisan Intelligence and National Security Alliance for their pragmatic leadership.

Congressman Ruppersberger previously served on the House Government Reform and House Armed Services Committees, where he worked to help keep our country safe and make sure our veterans at home, as well as our warfighters on the frontlines, have the resources they need.

Maryland's 2nd District includes parts of Baltimore City as well as Baltimore, Anne Arundel, Harford and Howard Counties. It is a vital center of trade and commerce for the state and national economy and includes the Port of Baltimore and the hundreds of businesses and manufacturing concerns dependent on it. The 2nd District is also home to the National Security Agency, Fort Meade, federal Cyber Command, Aberdeen Proving Ground, the Coast Guard Yard at Curtis Bay and other installations essential to the country's national security.

Creating jobs and improving Maryland's economy is one of Congressman Ruppersberger's top priorities. He is working hard to help middle-class Marylanders achieve more than just making ends meet. The Congressman is also fighting to keep our country safe and get our first responders the funds they need to protect our communities and our families.

A former assistant state's attorney in Baltimore County, Congressman Ruppersberger decided to run for office after a near-fatal car accident while investigating a drug trafficking case. Thanks to the dedication of doctors at the University of Maryland Shock Trauma Center, Congressman Ruppersberger survived and began campaigning for office to assist Shock Trauma after they saved his life. He remains an active supporter of the hospital, serving as Vice Chairman of its Board of Visitors. He also serves on the United States Naval Academy Board of Visitors.

Congressman Ruppersberger has served in public office for more than 30 years. He was elected to the Baltimore County Council in 1985 and again in 1989, chosen twice as council chairman. He was elected Baltimore County Executive in 1994 and 1998, and, under his leadership, the county was named one of the nation's four best-managed counties by Governing Magazine. The county achieved three AAA bond ratings and staggering job growth during his administration. 

A native of Baltimore City, Congressman Ruppersberger spent his summers as a lifeguard and police officer in Ocean City, Md. He attended Baltimore City College and the University of Maryland College Park, where he played lacrosse. He earned his Juris Doctorate from the University of Baltimore Law School.

The Congressman has been married for 46 years to his high school sweetheart, the former Kay Murphy. Together they have two grown children, Cory and Jill, and three grandchildren, Camden, Parker and Libby."

21749,158699,"FL","H","AK","01","","Don","Young","","Rep.","","US Representative","Narrative Bio","",2017-05-10 00:00:00,"Congressman Don Young was re-elected to the 115th Congress in 2016 to serve his 23rd term as Alaska's only Representative to the United States House of Representatives.  First sworn in as a freshman to the 93rd Congress after winning a special election on March 6, 1973, Congressman Young is today the Dean of the House Republicans and second longest serving member of the U.S. House of Representatives. 

Congressman Young served as Chairman of the House Natural Resources Committee from 1995 to 2001 and then as the Chairman of the House Transportation and Infrastructure Committee from 2001-2007.  In the 110th Congress, Representative Young returned to the helm of the Resources Committee to lead his fellow Republicans as the Ranking Member. In the 112th Congress, he was chosen to serve as the Chairman of the Subcommittee on Indian, Insular and Alaska Native Affairs (IIANA) - a position he held until January 2017. After fulfilling a successful 6-year term as Chairman of the IIANA Subcommittee, Congressman Young was named Chairman Emeritus of the full House Committee on Natural Resources - a role that allows him to bring his years of experience and knowledge to all five of the panel's Subcommittees. Today, Congressman Young currently serves as the most senior Republican on both the House Transportation and Infrastructure Committee and House Natural Resources Committee.

Congressman Young calls Fort Yukon, Alaska home; a remote village of approximately 700 people located 7 miles above the Arctic Circle in Alaska's central interior region.  Born on June 9, 1933 in Meridian, California, he earned his associate degree at Yuba Junior College in 1952, and his bachelor's degree in teaching at Chico State College in 1958.  Between earning these degrees, he served in the US Army's 41st Tank Battalion from 1955 to 1957.

When he first moved to Alaska, Congressman Young made a living in construction and tried his hand at commercial fishing, trapping, and in the search for gold.  In Fort Yukon he taught in a 25-student, 5th grade elementary class in the Bureau of Indian Affairs school. Constructed of logs, the school had a wood stove that kept his Alaska Native students warm in the sub-freezing, arctic winter. With the annual spring break-up of the river ice, he captained his own tug and barge operation to deliver products and supplies to villages along the Yukon River.  Even today, he remains the only licensed mariner in Congress. 

It was in Fort Yukon that Rep. Young met and married a young bookkeeper named Lu.  Lu was always at the Congressman's side and supported him throughout his public service career.  Lu and Don were married for 46 years.  They were blessed with and raised two daughters, Joni and Dawn, and 14 grandchildren.  Mrs. Young passed away on August 2, 2009. Although Congressman Young never imagined finding love again, on June 9, 2015 he married Anne Garland Walton, a Fairbanks-area flight nurse and proud mother of two children and six grandchildren. 

Congressman Young first entered public service in 1964 when he was elected Mayor of Fort Yukon.  Two years later, Alaskan voters elected him to the State Legislature in Juneau where he served in the State House from 1966 to 1970, and later in the State Senate from 1970 to 1973.  Just hours after being sworn in to United States House of Representatives in 1973, he found himself leading the historic battle for approval of the Trans-Alaskan Pipeline. Often citing this as the single most important achievement in his career, Congressman Young stated, ""Next to statehood itself, the most historical legislation passed that affected every Alaskan then, now, and in the future, was the passage of the pipeline legislation.""

That same year, his colleagues honored him as the ""Freshman Congressman of the Year.""  He went on to gain a key appointment on the then Merchant Marine and Fisheries Committee where he pushed through the 200-mile fishing limit critical to Alaska's fishing industry.  He fought against federal control of lands and resources to which Alaskans are rightfully entitled - a battle he continues today with the same vigor.  In 1997, he passed by a 419 to 1 vote, the National Wildlife Refuge System Improvement Act, which sets guidelines and priority uses within our nation's 550-plus wildlife refuges.

Congressman Young proudly serves as the ""Congressman for All Alaska"" and loves his role as the only Alaskan Representative in Congress.  Renewed by the challenges and goals of the 115th Congress and his committee positions, Congressman Young will continue to champion legislation and funding for programs benefiting Alaska and the nation.  His vision remains the same - to provide citizens with the opportunity for a better life not just for today, but also for tomorrow and the future."

21751,283894,"FL","H","AL","02","","Martha","Roby","","Rep.","","US Representative","Narrative Bio","",2017-05-11 00:00:00,"Rep. Martha Roby (ROH-bee) Rep. Martha Roby is currently in her fourth term serving the people of Alabama's 2nd Congressional District in the U.S. House of Representatives. Prior to being elected to Congress, Rep. Roby worked as an attorney and served as a city councilman in her hometown of Montgomery.

In the House, Rep. Roby has been a forceful advocate for cutting wasteful spending and eliminating bureaucratic red tape that burdens American families and businesses. Roby is a Member of the House Committee on Appropriations, which has oversight on the whole range of government spending. Rep. Roby serves on the Defense Subcommittee, the Labor, Education, Health and Human Services Subcommittee, and the Subcommittee on Commerce, Justice and Science. She is the first representative from the 2nd District to serve on the key congressional committee.

Rep. Roby also serves on the House Judiciary Committee.

In her short tenure in Congress, Rep. Roby has distinguished herself as an effective legislator and messenger for the conservative cause. She exposed abuses in the scandal-ridden Veterans Affairs health system and has worked tirelessly to improve care for veterans, both locally and nationally. A fierce advocate for the military, Roby is leading efforts to stop devastating cuts that threaten military readiness.

Roby obtained a Bachelor of Music degree from New York University in 1998 and her law degree from Cumberland School of Law at Samford University in 2001. Martha is married to Riley Roby and they have two children, Margaret and George. The Robys are members of Trinity Presbyterian Church, where they were married, their children were baptized and where they are involved in various ministries."

21753,158703,"FL","H","AL","04","","Robert","Aderholt","B.","Rep.","","US Representative","Narrative Bio","",2018-06-12 00:00:00,"In November 2016, Congressman Robert B. Aderholt was elected to serve his eleventh term representing Alabama's Fourth Congressional District.

Aderholt is a member of the powerful House Committee on Appropriations, which has jurisdiction over funding the operation of the federal government. He serves as Chairman of the Subcommittee on Agriculture and supports greater transparency, accountability and oversight to the appropriations process. Aderholt also serves as a member of the Commerce, Justice & Science Subcommittee and the Defense Subcommittee. An advocate of fiscal responsibility, truth in budgeting and a federal government that operates within its means, Aderholt tries to bring common-sense solutions to the Appropriations Committee.

Aderholt also serves as a commission member of the Commission on Security and Cooperation in Europe (commonly known as the Helsinki Commission).  Founded in 1976, the Helsinki Commission is comprised of 56 countries around the world that together monitors human rights in Europe and Central Asia.

A staunch supporter of his community, district and the state of Alabama, Aderholt believes the federal government serves a critical role in assisting state and local projects regarding economic development. He continues to support pro-growth initiatives that create jobs, strong immigration standards, and robust national security.

Prior to his election to Congress, Aderholt served as Assistant Legal Advisor to Governor Fob James as well as Municipal Judge for the city of Haleyville, Alabama. Educated through Alabama's public school system, Aderholt went on to receive his B.A. from Birmingham Southern College and his J.D. from the Cumberland School of Law at Samford University.

Born on July 22, 1965, and raised in Alabama, Aderholt and his wife, Caroline, have their residence in Haleyville along with their daughter, Mary Elliott, and their son, Robert Hayes. When Congress is in session, his family joins him in Washington, D.C. area."

21754,283897,"FL","H","AL","05","","Mo","Brooks","","Rep.","","US Representative","Narrative Bio","",2018-06-12 00:00:00,"On November 8, 2016, Congressman Mo Brooks (R-AL) was re-elected as the Representative for Alabama's 5th Congressional District. He proudly represents the people of North Alabama and serves on three important committees-  Armed Services, Science, Space, and Technology, and Foreign Affairs. 

Congressman Brooks is highly active and engaged in representing the interests of the 5th District. Brooks supports America's missile defense technologies; he introduced successful legislation in 2011, 2012, and 2013 that blocked the White House from sharing classified missile technologies with Russia, and was adapted into the National Defense Authorization Act in FY2012. Rep. Brooks is also a vocal opponent of sequestration, voting against the Budget Control Act and called upon Administration officials to account for the consequences of sequestration in a HASC Strategic Forces Subcommittee hearing on April 18, 2012.

During his first year on the Hill, Brooks founded and became co-chairman of the Army Aviation Caucus, a forum in which Members of Congress, staff, and Army leadership raise awareness for Army Aviation and seek to affect legislative priorities. The Caucus now includes more than 40 members and is one of the most active caucuses on Capitol Hill.

Growing up in North Alabama, Mo Brooks' parents taught him early on that study and hard work were expected and required. They also taught him the importance of honesty, and to never be shy about speaking up and fighting for important principles. Brooks was born in 1954 in Charleston, South Carolina, and moved in 1963 to Huntsville, Alabama. Rep. Brooks' father, Jack Brooks, retired from Redstone Arsenal's Metrology Center. Brooks' mother, Betty Brooks, taught economics and government for over 20 years at Lee High School. 

Rep. Brooks graduated from Grissom High School in 1972 (where he was all-city in baseball and an active member on two state championship debate teams). He graduated from Duke University in three years with a double major in political science and economics, with highest honors in economics. In 1978, he graduated from the University of Alabama Law School.

After graduation, Rep. Brooks worked as a prosecutor in the Tuscaloosa District Attorney's office, where he built a solid ""tough-on-crime"" reputation. While there, he obtained guilty verdicts in every one of the 20-plus jury trials he prosecuted. He also organized and managed the grand jury.

Rep. Brooks left the Tuscaloosa District Attorney's office in 1980 to return to Huntsville as a law clerk for presiding Circuit Court Judge John David Snodgrass. In 1982, Brooks was elected to the Alabama House of Representatives and became one of 11 Republican legislators (out of 140 total) and the only elected Republican legislator north of Birmingham.

Brooks was reelected to the Alabama House in 1983, 1986, and 1990. While in the legislature, he was elected Republican House Caucus Chairman three times and was ranked number one (out of 140 legislators) by the Alabama Taxpayers' Defense Fund in the fight to protect family incomes from higher taxes. He was also ranked in the top 20 percent by Alabama Alliance of Business & Industry on pro-jobs, tort reform, and free enterprise issues and was recognized as one of the legislature's most effective legislators by Alabama Magazine.

In 1991, Brooks was appointed Madison County District Attorney. In 1996, he ran for the Madison County Commission and unseated an eight-year incumbent Republican. He was reelected to the Commission in 2000, 2004, and 2008. During every year except when he was serving as a prosecutor or court clerk, Brooks held a second job in private practice. In 1995-1996, he was appointed Special Assistant Attorney General for then Attorney General Jeff Sessions and, from 1996-2002, was appointed Special Assistant Attorney General for then Attorney General Bill Pryor.

In 1976, Mo Brooks married Martha Jenkins of Toledo; they met at Duke University. Martha graduated from the University of Alabama with an accounting degree. She later retired as a certified public accountant and obtained a math and education major from the University of Alabama in Huntsville in 2005. She taught math at Whitesburg Middle School. Mo and Martha are the proud parents of four children and grandparents of eight grandchildren. Rep. Brooks was first elected to the U.S. House of Representatives on November 2, 2010."

21755,475776,"FL","H","AL","06","","Gary","Palmer","J.","Rep.","","US Representative","Narrative Bio","",2017-05-11 00:00:00,"Mr. Palmer, who grew up in Hackleburg, a small town in Northwest Alabama, now lives in Hoover and represents Alabama's 6th Congressional District.  Mr. Palmer attended the University of Alabama and was the first person on either side of his family to attend college. In addition, he was a walk-on member of the football team under legendary football coach Bear Bryant.  After earning a B.S. in Operations Management, he worked in the private sector for 12 years; including nine with two major engineering construction companies, before involvement with Focus on the Family lead him to start the Alabama Family Alliance which later became the Alabama Policy Institute.

Palmer served as President of the Alabama Policy Institute for 24 years. During his tenure, the Alabama Policy Institute became a full-spectrum public policy organization that engaged in virtually all policy issues that affected Alabamians.  It is considered the premier conservative think-tank in Alabama.

Palmer also was a founding member of the board of directors of the State Policy Network, an umbrella organization for various state-based think-tanks.  He served on the State Policy Network board for six years, the last two as chairman. Leading this broad coalition of policy thinkers gave Palmer exposure and knowledge of policy problems that confront all 50 states.  When State Policy Network was founded in 1992, there were fewer than 20 state think-tanks in their network.  Today, State Policy Network has 65 member organizations.

Palmer served on four different state commissions on behalf of three different Governors. He was appointed to the Welfare Reform Commission by Governor Fob James.  He also served as an advisor to Governor James' Aerospace, Science and Technology Task Force.  He was appointed to the Task Force to Strengthen Alabama Families by Governor Bob Riley, and the Alabama Commission on Improving State Government by Governor Robert Bentley.

